,NTA_Code,TotalPop,NYCHAperc,PreventHosp,DiversityScore,HealthIns
165,QN60,23145.0,0.0,1256.4,81.56384002730621,90.3
166,QN61,54198.0,1.1,1728.4,92.42959482763082,78.8
167,QN62,21727.0,0.0,710.7,81.23459854027716,78.1
168,QN63,45804.0,0.0,1269.0,97.64046292393333,76.4
169,QN66,26847.0,0.0,1301.1,64.2513034887231,89.2
170,QN68,18393.0,46.6,2700.0,74.2554375113365,81.8
171,QN70,77095.0,7.0,1281.1,69.45437351240021,81.3
172,QN71,29149.0,10.9,1955.3,77.5310905379255,80.7
173,QN72,47980.0,0.0,1185.6,82.66341391450028,84.5
174,QN76,37155.0,2.6,2030.9,77.5310905379255,87.4
175,QN98,39088.0,0.0,1447.25,77.5310905379255,87.80000000000001
176,QN99,39088.0,0.0,1447.25,90.89180381090475,87.80000000000001
177,SI01,28853.0,0.0,1006.5,71.58952437333272,96.2
178,SI05,39594.0,2.5,1251.1,75.4876148782037,93.6
179,SI07,24357.0,0.0,1140.9,58.16536770278341,95.6
180,SI08,22484.0,0.0,1448.0,83.13537153342132,90.6
181,SI11,24574.0,0.0,1195.5,59.04667645176991,93.7
182,SI12,30042.0,5.3,2083.8,76.54064279845056,88.7
183,SI14,15394.0,6.1,1391.3,58.30531708172077,91.8
184,SI22,32841.0,10.0,2690.6,78.85118895742791,88.8
185,SI24,31472.0,0.0,1179.0,82.97355000239536,91.8
186,SI25,21575.0,0.0,1184.3,61.21176357531287,95.1
187,SI28,19229.0,0.0,1627.8,87.64553610994687,87.9
188,SI32,21050.0,0.0,1118.1,64.4910071250248,96.2
189,SI35,18313.0,0.0,1609.1,79.43557137706004,89.1
190,SI36,25007.0,3.8,1620.0,62.00161288224685,92.5
191,SI37,26596.0,8.1,2097.5,83.7080043962344,85.0
192,SI45,20461.0,0.0,1317.8,82.18467010337146,93.9
193,SI48,25602.0,0.0,1195.0,86.3002896866517,96.4
194,SI54,44078.0,0.0,1041.5,77.5310905379255,94.5
195,SI99,39088.0,0.0,1447.25,77.5310905379255,87.80000000000001
